Word,Definitions
TqwaJ ndwaB tkwaH,[[forty-two]]
TqwaJ qnyoJ,[[fifty-five]]
TqwaJ qyuJ,[[forty-five]]
TqwaJ tyiH,[[fifty]]
TqwaJ tyiH ndwaB jaE kwaJ,[[fifty-four]]
TqwaJ tyiH ndwaB kaH,[[fifty-nine]]
TqwaJ tyiH ndwaB ktiH,[[fifty-seven]]
TqwaJ tyiH ndwaB skaE,[[fifty-one]]
TqwaJ tyiH ndwaB skwaH,[[fifty-six]]
TqwaJ tyiH ndwaB snaH,[[fifty-three]]
TqwaJ tyiH ndwaB snoqH,[[fifty-eight]]
TqwaJ tyiH ndwaB tkwaH,[[fifty-two]]
TsaF-riqC,(Of a person's [[characteristic]]) [[flirtatious]] ; [[charm]]
TuC-kwanC,The [[sky]]
TuC-tqwaA,Inside of the [[mouth]]; [[oral cavity]]
TuC-xkaqH,"A [[hole]] ; A [[crater]] ; A [[cavity]], in context of [[dentistry]]"
TuC-xqinC,[[intestine]]s [[of]]; used to show possession
TuF-keAF,[[cave]]
TuF-sqanJ,"A [[pool]], for [[leisure]]"
TuF-tiAF,[[creek]] ; [[stream]]
TweA-tiAF,To [[complete]] or do a [[task]] [[slowly]]
TyiA noA xweI,A [[placenta]]
TyiF-kaqE,A [[carpenter]]
TykaqA ktaA,The [[seed]] of a [[gourd]]
TykuE ShkwanI,"A [[river]] south-east of Cieneguilla, San Juan Quiahije, Oaxaca, Mexico."
TykuE TuC SqanJ,"A [[river]] northeast of Cieneguilla, San Juan Quiahije, Oaxaca, Mexico."
TykuE-tyinqJ,"A [[river]] in San Juan Quiahije, Oaxaca, Mexico."
TyonC-qaE,(Of [[quantity]]) In [[excess]] ; [[too much]] or [[too many]]
TyqaA-qoE,The [[sea]]
TyqaA-sneqI,(Some) [[saliva]] ; (Some) [[drool]]
TyuF yqaA,A type of sun-dried brick used in building; [[adobe]]
WaC-xqweF,[[thank you]]
XaF-l'yuI,The [[world]]
XaF-lwiH,(Some) [[lightning]]
XaI-taA,Of [[other]]; [[others]]
XeH-keA-loA,An [[eye]] [[color]] that is [[clear]]
XiA-tyiA,[[village]] [[of]]; used to show possession
XkaA-lyuK,"A [[mezcal]], a type of [[alcoholic]] beverage made from [[agave]]"
XkaI-yaqAF,At [[another]] [[time]] ; Could be interpreted as [[final]] time
XkuH kiqA,"Someone who holds a [[flame]], possibly for ceremonious reasons"
XluG-yuA,"[[beetle]], usually black in color"
XneqC nkqoB,[[coyote]]
XneqC-klaE,A [[male]] [[dog]]
XneqC-tyeqA,A [[female]] [[dog]] ; {{lb|omq-sjq|vulgar|offensive}} An insult towards an adult woman
xoqM kiLM,[[gather|gathered]]
XtyonH-kxinqC,A [[wildcat]]; [[bobcat]]
YaC-ntyqanJ-tiI-nyaJ-ranF,(Related to one's [[values]]) [[modest]] ; [[simple]]; [[plain]]
YaqC kchiE,A [[stone]] used for [[grinding]] by hand
YaqC-kwenF,[[right hand]] [[of]]; used to show possession
YjaA sleqH,A fat[[tortilla]]
YjaA-kuqAF,A [[tortilla]] dish with [[beans]]
YjaA-ntqanI,A [[tortilla]] made from [[sweet corn]]
YjaA-tlaI,A [[baked]] [[tortilla]]
YjaA-tykinqF,[[food]] for a [[dog]]; a type of [[dogfood]]
YjaA-xqaE,"[[Tamale de Calabaza]], a type of [[tamales]] that are made of [[beans]], [[corn]], and [[squash]], or made with only beans and corn, usually prepared around the days of the [[Christmas]] holiday. There is another known variation of this dish that is white in color on the outside due to being wrapped in [[corn]] [[husk]]s or a [[leaf]] from an unspecified type of tree."
YkaA tiF-ntaK,A [[mantis]]
YkaA-kaA-jweB,[[coffee tree]]
YkaA-keC-kqoC,An unspecified species of [[tree]]
YkaA-ksuC,An [[avocado]] [[tree]]
YkaA-kyaqA,[[wooden]] [[ridgepole]]
YkaA-kytyeC,A [[pine tree]]
YkaA-luqH,An unspecified type of [[palm]] [[tree]] ; A [[coquito]] [[tree]]
YkaA-lwiqH,A [[ricinus]] [[tree]]; a type of tree
YkaA-ndaqB,"[[cuajinicuil]], a type of tree which bears edible fruit"
YkaA-nkyjinB,[[rubber tree]]
YkaA-nqanA,[[horizontal]] [[roof]] [[beam]] ; [[sill]]
YkaA-ntyaI,"A species of [[tree]], possibly the Guachipelin or Honey Locust tree."
YkaA-ntyanqB,[[oakwood]]
YkaA-qanA,[[wooden]] [[pillar]]; [[column]]; [[stake]]; or [[post]]
YkaA-qwaB,A [[banana]] [[tree]]
YkaA-stanqI,A [[hook]] ; A [[branch]]
YkaA-taqC-jnoqE,"[[pumpwood]], a type of [[tropical]] [[tree]]"
YkaA-taqF-tykuE,An unspecified type of [[tree]]
YkaA-tkwaF,A type of [[stick]] or [[rod]] ; A [[staff]]
YkaA-tqwaI,"A [[bolster]] ; A type of [[beam]] to support the [[roof]] of a [[house]], usually placed [[horizontal]]ly"
YkaA-yneG,[[neck]] [[of]]; used to show possession
YkaA-yuA,An unspecified type of [[tree]]
YkaAF-skanA,A staff [[indicative]] or [[symbolic]] of [[authority]] or [[leadership]]
YquH-riqC,"[[shameful]] ; [[shy]], [[timid]]"
YuA kuqF,"A [[summit]], [[top]] ; A (''[[literary]]'') [[zenith]] or [[pinnacle]]"
YuA-ktaC,[[powder]]
YuA-ktsuqB,[[mud]]
YuA-nkqaE,"A type of [[terrain]] that exhibits a [[shade]] of [[red]], possibly a type of [[clay]] that exhibits a [[red]] [[color]]"
YuA-nkqaH,"A [[place]] in San Juan Quiahije, Oaxaca, Mexico."
